"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.401381250E-1,-1.760558626E-1,3.766516122E-1,5.182317066E-1
8.501991250E-1,-1.178558940E-1,4.016431966E-1,2.848634827E-1
8.602611250E-1,-2.286085904E-2,5.056701332E-1,9.214042425E-3
8.703221250E-1,-7.207394958E-2,3.057067600E-1,-1.407570988E-1
8.803841250E-1,-1.986021414E-1,-2.791285336E-2,-2.142905134E-1
8.904451250E-1,-2.797115010E-1,-7.928824425E-3,-1.099510431E-1
9.005071250E-1,-3.851777297E-1,7.731334716E-2,7.728849649E-2
9.105681250E-1,-4.382070056E-1,-6.238423616E-2,6.470879674E-2
9.206291250E-1,-3.738850021E-1,3.282977700E-2,2.467437297E-1
9.306911250E-1,-3.096270257E-1,3.675254242E-1,4.949159342E-1
9.407521250E-1,-2.002916944E-1,4.110468350E-1,5.265394306E-1
9.508141250E-1,-1.705901778E-1,2.158258460E-1,3.424562180E-1
9.608751250E-1,-1.779605931E-1,1.394455683E-1,3.707672668E-1
9.709371250E-1,-1.837361804E-1,-6.602442026E-2,2.879975903E-1
9.809981250E-1,-1.426276231E-1,-1.903045039E-1,2.555572379E-1
9.910601250E-1,-2.454956415E-1,-2.204534787E-1,1.866285056E-1
1.001121125E0,-2.614404139E-1,-1.534341547E-1,7.100566328E-2
1.011183125E0,-2.180719078E-1,-8.074624747E-2,-8.523076952E-2
1.021244125E0,-2.396209440E-1,-4.667466804E-2,-2.664044076E-1
1.031306125E0,-1.766835612E-1,9.534411371E-2,-3.001995599E-1
1.041367125E0,-8.682705939E-2,7.436401159E-2,-2.976033962E-1
1.051429125E0,-5.729978979E-3,2.277636677E-2,-3.642049366E-1
1.061490125E0,-7.388834059E-3,-2.730518147E-2,-3.026916432E-1
1.071552125E0,-4.467711300E-2,5.629728466E-2,-2.230513966E-1
1.081613125E0,1.612545133E-2,1.131183337E-1,-2.928051710E-1
1.091675125E0,-6.857556045E-2,6.580851182E-2,-3.195193452E-1
1.101736125E0,-1.345198739E-1,3.542038590E-2,-3.240819275E-1
1.111798125E0,-5.816956311E-2,1.078366899E-1,-4.098804617E-1
1.121859125E0,2.767662585E-2,-2.656185418E-2,-4.198669213E-1
1.131920125E0,1.179798549E-1,-2.048469678E-1,-3.652819937E-1
1.141982125E0,1.762789339E-1,-2.679259993E-1,-5.030768931E-1
1.152043125E0,1.171451649E-1,-2.514592168E-1,-5.464907151E-1
1.162105125E0,1.232771400E-1,-2.126009604E-1,-5.076260269E-1
1.172166125E0,3.971311927E-2,-2.479657978E-2,-4.281921870E-1
1.182228125E0,4.074632227E-2,1.575210661E-2,-3.918470639E-1
1.192289125E0,1.501842722E-1,2.817153418E-1,-1.758865857E-1
1.202351125E0,-1.928587139E-2,6.035580781E-1,4.235138297E-3
1.212412125E0,-1.577844831E-1,7.514170589E-1,1.050580931E-1
1.222474125E0,-4.509021878E-1,4.017931777E-1,2.143285203E-1
1.232535125E0,-2.384775209E-1,5.291575214E-1,3.700948370E-1
1.242597125E0,-4.146494508E-1,3.595208783E-1,3.156742162E-1
1.252658125E0,-6.639185929E-1,-1.713646415E-1,4.121585369E-2
1.262720125E0,-2.825935936E-1,3.098965824E-2,-1.636296523E-1
1.272777250E0,-1.504751712E-1,4.978196615E-1,-8.872740448E-2
1.282839250E0,-1.098487169E-1,7.816762537E-1,-4.674147248E-2
1.292900250E0,-8.358606470E-1,-1.545794781E-1,2.058336854E-2
1.302961250E0,-4.012125492E-1,-2.313573664E-1,4.707347739E-1
1.313023250E0,3.368323660E-1,6.396903625E-1,5.653093940E-1
1.323084250E0,-1.785160786E-1,9.937474564E-2,1.063491583E-1
1.333146250E0,-2.847249037E-1,-1.490578061E-1,1.445554501E-1
1.343207250E0,-1.560271025E-1,-1.078963315E-1,-4.233150244E-2
1.353269250E0,-1.343169755E-1,1.437172517E-2,-2.045250785E-1
1.363330250E0,-1.610153621E-1,1.308807130E-1,-1.711023939E-1
1.373392250E0,-2.480535060E-1,4.716846541E-2,-1.084477240E-1
1.383453250E0,-3.037692851E-1,5.056701332E-2,-2.874666631E-2
1.393515250E0,-2.604560351E-1,5.558889449E-2,-2.521787167E-2
1.403576250E0,-2.167399120E-1,-1.705910549E-2,-5.337455392E-2
1.413638250E0,-2.622522998E-1,-2.734903559E-2,-7.267504334E-2
1.423699250E0,-2.865925044E-1,-6.748710126E-3,-6.017135739E-2
1.433761250E0,-2.628627491E-1,8.498021632E-2,-1.155936062E-1
1.443822250E0,-1.968289733E-1,5.225788191E-2,-1.831815720E-1
1.453883250E0,-1.088108361E-1,-1.299748331E-2,-2.106728411E-1
1.463945250E0,-7.984431446E-2,-5.404406011E-2,-1.869892788E-1
1.474006250E0,-9.115750730E-2,-3.756909147E-2,-9.982892811E-2
1.484068250E0,-9.179426908E-2,-1.813981712E-2,-2.918696165E-2
1.494129250E0,-1.153100163E-1,-6.632920638E-2,4.758990347E-2
1.504191250E0,-1.590150297E-1,-1.104761231E-1,1.360670471E-1
1.514252250E0,-1.718391430E-1,-3.038827211E-2,1.137815541E-1
1.524314250E0,-1.284849626E-1,3.958711177E-2,4.125795364E-2
1.534375250E0,-1.005253315E-1,5.701576129E-2,-7.218972445E-3
1.544437250E0,-7.163833201E-2,8.912267625E-2,-5.345173717E-2
1.554498250E0,-6.226232171E-2,1.180986996E-1,-9.643228054E-2
1.564560250E0,-5.918025434E-2,1.576685621E-1,-7.852693677E-2
1.574621250E0,-3.632524252E-2,1.835248035E-1,-5.812190831E-2
1.584682250E0,4.592987895E-3,1.897167125E-1,-7.930637062E-2
