"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.082725250E0,-4.362378387E0,1.611997833E0,8.613238678E0
2.092786250E0,-4.380490723E0,1.656006317E0,8.651409302E0
2.102847250E0,-4.400549011E0,1.627715149E0,8.692124634E0
2.112909250E0,-4.434678040E0,1.601669312E0,8.749455414E0
2.122970250E0,-4.389621735E0,1.618584137E0,8.748407593E0
2.133032250E0,-4.325255585E0,1.554966431E0,8.712631989E0
2.143093250E0,-4.255500641E0,1.540746002E0,8.722361755E0
2.153155250E0,-4.183200989E0,1.493294678E0,8.653504944E0
2.163216250E0,-4.141737213E0,1.472487946E0,8.585097198E0
2.173278250E0,-4.054319000E0,1.506616974E0,8.641529846E0
2.183339250E0,-3.986210632E0,1.431024170E0,8.558751984E0
2.193400250E0,-3.968547363E0,1.426234131E0,8.582253113E0
2.203462250E0,-3.939956818E0,1.401086426E0,8.630901947E0
2.213523250E0,-3.964805145E0,1.391356659E0,8.653654633E0
2.223585250E0,-3.976480865E0,1.379231873E0,8.686735840E0
2.233646250E0,-3.948489075E0,1.384920044E0,8.662635956E0
2.243708250E0,-3.980821838E0,1.426683197E0,8.642727356E0
2.253769250E0,-4.028572540E0,1.437311096E0,8.670868835E0
2.263831250E0,-4.063000946E0,1.487007751E0,8.673114166E0
2.273892667E0,-4.110751648E0,1.578617249E0,8.739126892E0
2.283954667E0,-4.126618652E0,1.605411530E0,8.749156036E0
2.294015667E0,-4.138444061E0,1.628313904E0,8.783584442E0
2.304076667E0,-4.145778809E0,1.614841919E0,8.775201874E0
2.314138667E0,-4.118834839E0,1.614093475E0,8.808732147E0
2.324199667E0,-4.128714294E0,1.629511414E0,8.906029816E0
2.334261667E0,-4.103566589E0,1.596280518E0,8.999435577E0
2.344322667E0,-3.936214600E0,1.595532074E0,8.957073669E0
2.354384667E0,-3.835474091E0,1.461111603E0,8.901988220E0
2.364445667E0,-3.813020782E0,1.346000977E0,8.931776276E0
2.374507667E0,-3.754642181E0,1.346599731E0,8.995693359E0
2.384568667E0,-3.677402802E0,1.298699341E0,9.006920013E0
2.394629667E0,-3.588038635E0,1.200952606E0,8.993448029E0
2.404691667E0,-3.526516571E0,1.188229065E0,8.963210907E0
2.414752667E0,-3.472778320E0,1.186283112E0,8.889264679E0
2.424814667E0,-3.450624390E0,1.229543152E0,8.909772034E0
2.434875667E0,-3.426823883E0,1.256337433E0,8.955576782E0
2.444937667E0,-3.424428864E0,1.264570312E0,8.867110748E0
2.454998667E0,-3.420087891E0,1.266366577E0,8.803343353E0
2.465060667E0,-3.433559875E0,1.249451752E0,8.821156311E0
2.475121667E0,-3.446133728E0,1.289718018E0,8.832083588E0
2.485182667E0,-3.490591278E0,1.381926270E0,8.837322693E0
2.495244667E0,-3.516337738E0,1.373843079E0,8.860075378E0
2.505305667E0,-3.549868011E0,1.368304596E0,8.924890594E0
2.515367667E0,-3.621718597E0,1.396296387E0,9.000633087E0
2.525428667E0,-3.679199066E0,1.399888916E0,9.088350677E0
2.535490667E0,-3.555705872E0,1.283730469E0,8.942104797E0
2.545551667E0,-3.570075989E0,1.327589264E0,8.974886627E0
2.555613667E0,-3.600612488E0,1.527573395E0,9.017398224E0
2.565674667E0,-3.628903656E0,1.512155457E0,9.054970093E0
2.575735667E0,-3.610192566E0,1.482367401E0,9.147328033E0
2.585797667E0,-3.542982330E0,1.506167908E0,9.148824921E0
2.595858667E0,-3.483855286E0,1.384171600E0,9.110055542E0
2.605920667E0,-3.311413879E0,1.702559509E0,9.043294373E0
2.615981667E0,-3.319796448E0,1.625170441E0,8.895850983E0
2.626043667E0,-3.366798706E0,1.583257599E0,8.920848999E0
2.636104667E0,-3.357518005E0,1.646725616E0,8.940009155E0
2.646166667E0,-3.335214386E0,1.629511414E0,8.918154602E0
2.656227667E0,-3.260519714E0,1.591490479E0,8.874595184E0
2.666288667E0,-3.206781464E0,1.588197327E0,8.799601135E0
2.676350667E0,-3.181783447E0,1.623224487E0,8.775650940E0
2.686411667E0,-3.178190918E0,1.634002075E0,8.784183197E0
2.696473667E0,-3.199895782E0,1.610650635E0,8.769064636E0
2.706534667E0,-3.245550842E0,1.626218262E0,8.714577942E0
2.716596667E0,-3.136427765E0,1.542392578E0,7.994425507E0
2.726657667E0,-3.194207611E0,1.714833984E0,8.701405334E0
2.736719667E0,-3.314856720E0,1.664388885E0,8.939410400E0
2.746780667E0,-3.360362091E0,1.554217987E0,9.140592041E0
2.756841667E0,-3.431314545E0,1.637295227E0,9.279353485E0
2.766903667E0,-3.286266174E0,1.644929352E0,9.206305389E0
