"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.841851250E-1,-3.312910767E0,3.960164795E0,8.092172241E0
6.942461250E-1,-3.212170258E0,3.778442688E0,8.110733643E0
7.043081250E-1,-3.147953796E0,3.794309692E0,7.982899475E0
7.143691250E-1,-3.123853912E0,3.813320160E0,7.934100952E0
7.244311250E-1,-3.096610565E0,3.771407318E0,7.823780365E0
7.344921250E-1,-3.077151031E0,3.710484009E0,7.683522034E0
7.445541250E-1,-2.937641144E0,3.581901398E0,7.585026855E0
7.546151250E-1,-2.771636353E0,3.336411896E0,7.321125641E0
7.646771250E-1,-2.721640320E0,3.071013794E0,7.189848633E0
7.747381250E-1,-2.658022614E0,2.993475037E0,7.337890778E0
7.848001250E-1,-2.772085419E0,3.131937103E0,7.479346619E0
7.948611250E-1,-2.970722351E0,3.092868347E0,7.586523743E0
8.049231250E-1,-3.441044312E0,2.834056549E0,7.971074066E0
8.149841250E-1,-3.951183472E0,2.853216705E0,8.559799805E0
8.250451250E-1,-4.174369354E0,3.081941071E0,8.829838257E0
8.351071250E-1,-4.173620911E0,3.189866638E0,9.036259003E0
8.451681250E-1,-4.143234100E0,3.171754303E0,8.936716003E0
8.552301250E-1,-4.080813904E0,3.185675354E0,8.662486267E0
8.652911250E-1,-4.066144409E0,3.098556519E0,8.451724548E0
8.753531250E-1,-4.218826904E0,2.687810669E0,8.360264740E0
8.854141250E-1,-4.341721344E0,2.443668365E0,8.339458008E0
8.954761250E-1,-4.480482788E0,2.511177979E0,8.560248871E0
9.055371250E-1,-4.621040497E0,2.381846924E0,8.601712646E0
9.155991250E-1,-4.618795166E0,2.261197815E0,8.687035217E0
9.256601250E-1,-4.573289795E0,2.454296265E0,8.930878143E0
9.357221250E-1,-4.501888275E0,2.633773041E0,9.120384064E0
9.457831250E-1,-4.393363953E0,2.443518677E0,9.011859741E0
9.558451250E-1,-4.378993835E0,2.268532562E0,8.960815887E0
9.659061250E-1,-4.399650879E0,2.070943451E0,8.973090363E0
9.759681250E-1,-4.339026947E0,1.832489319E0,8.901988220E0
9.860291250E-1,-4.392166443E0,1.727108459E0,8.881780243E0
9.960911250E-1,-4.469705200E0,1.685794373E0,8.791517944E0
1.006152125E0,-4.441713409E0,1.760788422E0,8.669970703E0
1.016214125E0,-4.461771698E0,1.703158264E0,8.475974121E0
1.026275125E0,-4.455335083E0,1.824406128E0,8.366701355E0
1.036336125E0,-4.389921112E0,1.815424805E0,8.374185791E0
1.046398125E0,-4.321663055E0,1.750459900E0,8.329877930E0
1.056459125E0,-4.286635895E0,1.639390869E0,8.310418396E0
1.066521125E0,-4.366120605E0,1.616787872E0,8.398135986E0
1.076582125E0,-4.331542511E0,1.685644684E0,8.419840851E0
1.086644125E0,-4.349654846E0,1.649569702E0,8.332422638E0
1.096705125E0,-4.476441193E0,1.552421722E0,8.342900848E0
1.106767125E0,-4.459376678E0,1.575623474E0,8.305179291E0
1.116828125E0,-4.381837921E0,1.554517365E0,8.205187225E0
1.126890125E0,-4.323159943E0,1.347348175E0,8.279582520E0
