"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.294611250E-1,-6.130138040E-1,-1.869805902E-1,-3.214858472E-1
7.395231250E-1,-6.135480404E-1,-5.160624534E-2,-3.506842256E-1
7.495841250E-1,-5.933492184E-1,1.601168215E-1,-3.899893165E-1
7.596461250E-1,-5.767512918E-1,4.365686774E-1,-4.479061365E-1
7.697071250E-1,-5.710074902E-1,7.184700370E-1,-5.317495465E-1
7.797691250E-1,-6.023065448E-1,9.071147442E-1,-5.842519403E-1
7.898301250E-1,-6.448129416E-1,1.067964911E0,-6.228274107E-1
7.998921250E-1,-6.702450514E-1,1.172870040E0,-6.896303892E-1
8.099531250E-1,-6.990889907E-1,1.104569316E0,-6.833063960E-1
8.200151250E-1,-7.076265216E-1,8.962392211E-1,-6.318498254E-1
8.300761250E-1,-7.041949034E-1,6.304082274E-1,-5.998798013E-1
8.401381250E-1,-6.979170442E-1,3.765572608E-1,-5.868769288E-1
8.501991250E-1,-6.532000303E-1,2.181635648E-1,-5.752446651E-1
8.602611250E-1,-6.266981363E-1,1.546791345E-1,-5.426717997E-1
8.703221250E-1,-6.020342708E-1,1.667882204E-1,-5.121443272E-1
8.803841250E-1,-5.735387206E-1,2.444063127E-1,-5.009007454E-1
8.904451250E-1,-5.560325980E-1,3.300009966E-1,-4.724372327E-1
9.005071250E-1,-5.482372046E-1,3.291812539E-1,-4.080342650E-1
9.105681250E-1,-5.499483943E-1,3.079008758E-1,-3.782031238E-1
9.206291250E-1,-5.548733473E-1,1.897486746E-1,-3.346787989E-1
9.306911250E-1,-5.738117695E-1,1.956940256E-2,-2.883290052E-1
9.407521250E-1,-5.704700351E-1,-1.060183495E-1,-2.596448958E-1
9.508141250E-1,-5.454037786E-1,-1.659804732E-1,-2.428640723E-1
9.608751250E-1,-5.171833038E-1,-2.351574153E-1,-2.147152573E-1
9.709371250E-1,-5.019984245E-1,-1.597408354E-1,-2.020301819E-1
9.809981250E-1,-4.637115002E-1,-5.907760188E-2,-2.024781257E-1
9.910601250E-1,-4.211080372E-1,1.471775025E-2,-1.947155893E-1
1.001121125E0,-3.869154453E-1,3.689921647E-2,-1.904151291E-1
1.011183125E0,-3.789459765E-1,5.297533423E-2,-2.001934797E-1
1.021244125E0,-3.754170239E-1,1.006112993E-1,-2.082860321E-1
1.031306125E0,-3.674742579E-1,1.649019569E-1,-2.065798491E-1
1.041367125E0,-3.460935950E-1,1.988346279E-1,-1.953793913E-1
1.051429125E0,-3.372083902E-1,2.067385316E-1,-1.887309253E-1
1.061490125E0,-3.316706121E-1,1.926677227E-1,-1.891983151E-1
1.071552125E0,-3.187566400E-1,1.363743544E-1,-1.900333017E-1
1.081613125E0,-2.970249951E-1,8.768085390E-2,-1.866894364E-1
1.091675125E0,-2.753555775E-1,5.826305598E-2,-1.744844317E-1
1.101736125E0,-2.459343076E-1,6.853833050E-2,-1.430119872E-1
1.111798125E0,-1.937855035E-1,1.041908935E-1,-9.157662094E-2
1.121859125E0,-1.142270267E-1,1.973370761E-1,-2.209075540E-2
1.131920125E0,-2.990185656E-2,3.165710568E-1,4.236022010E-2
1.141982125E0,6.952167302E-2,4.515123665E-1,1.048640758E-1
1.152043125E0,1.614645422E-1,6.226220131E-1,1.853006780E-1
1.162105125E0,2.477110177E-1,7.753338218E-1,2.663353384E-1
1.172166125E0,3.171142340E-1,8.897674084E-1,3.529007137E-1
1.182228125E0,3.316154182E-1,9.589658976E-1,4.122591317E-1
1.192289125E0,2.998349667E-1,8.967046142E-1,4.093191624E-1
1.202351125E0,2.568978667E-1,7.332536578E-1,3.556958735E-1
1.212412125E0,1.860192716E-1,5.610268712E-1,2.788337767E-1
1.222474125E0,1.057539880E-1,4.066168368E-1,1.845232546E-1
1.232535125E0,5.387571827E-2,1.601059884E-1,9.276308864E-2
1.242597125E0,1.728122309E-2,5.460379645E-2,3.945672512E-2
1.252658125E0,2.061875537E-3,1.093699634E-1,2.885831706E-2
1.262720125E0,2.603032440E-2,1.128211543E-1,1.007930283E-2
1.272777250E0,5.106109381E-2,1.237343550E-1,1.597952656E-2
1.282839250E0,9.910558164E-2,1.836376339E-1,6.662990432E-3
1.292900250E0,8.909687400E-2,3.159217536E-1,6.171588972E-2
1.302961250E0,6.933248788E-2,1.841551960E-1,8.840236813E-2
1.313023250E0,6.067224219E-2,-5.356030539E-2,2.368372679E-2
1.323084250E0,-3.539771307E-3,-4.697297886E-2,-2.162543125E-2
1.333146250E0,-4.231408611E-2,-1.237328947E-1,-3.367327526E-2
1.343207250E0,-3.525884077E-2,-1.169013530E-1,-2.453782968E-2
1.353269250E0,-2.739690989E-2,-5.381410569E-2,-1.545750443E-2
1.363330250E0,-2.511804551E-2,3.245184664E-3,-1.877819933E-2
1.373392250E0,-2.736967802E-2,3.057583421E-2,-2.003854886E-2
1.383453250E0,-3.760154173E-2,2.435149625E-2,-1.488373429E-2
1.393515250E0,-4.093891382E-2,1.759534329E-2,-7.597636431E-3
1.403576250E0,-4.059137404E-2,1.432551444E-2,-1.076546684E-2
1.413638250E0,-3.928201273E-2,3.760304069E-3,-9.959518909E-3
1.423699250E0,-5.382873118E-2,-2.488092706E-2,-4.603102803E-3
1.433761250E0,-7.097375393E-2,-4.203107208E-2,1.125963964E-2
1.443822250E0,-7.706839591E-2,-1.968714967E-2,2.579890192E-2
1.453883250E0,-7.924143970E-2,9.493658319E-3,3.684934229E-2
1.463945250E0,-7.341497391E-2,3.872664645E-2,4.124036059E-2
1.474006250E0,-5.973722041E-2,5.135967210E-2,5.235705897E-2
1.484068250E0,-6.536607444E-2,4.681339115E-2,5.778910965E-2
1.494129250E0,-6.601681560E-2,2.007597499E-2,5.761271715E-2
1.504191250E0,-7.004111260E-2,-2.177506872E-2,5.514529720E-2
1.514252250E0,-8.709542453E-2,-6.314135343E-2,4.973430559E-2
1.524314250E0,-1.060195863E-1,-7.898343354E-2,4.393420368E-2
1.534375250E0,-1.316206008E-1,-8.544272184E-2,4.113600403E-2
1.544437250E0,-1.432532817E-1,-8.537081629E-2,4.485644028E-2
1.554498250E0,-1.394826919E-1,-7.158245146E-2,4.763935879E-2
1.564560250E0,-1.340583712E-1,-5.663199723E-2,5.286474526E-2
1.574621250E0,-1.308680475E-1,-5.805100873E-2,5.765542760E-2
1.584682250E0,-1.312328875E-1,-5.077285692E-2,6.411892176E-2
1.594744250E0,-1.314056367E-1,-6.399942189E-2,6.268898398E-2
1.604805250E0,-1.234353259E-1,-7.287893444E-2,6.816231459E-2
1.614867250E0,-1.195637658E-1,-8.329528570E-2,7.250342518E-2
1.624928250E0,-1.130542010E-1,-9.698180109E-2,7.362328470E-2
1.634990250E0,-1.072311103E-1,-1.056292281E-1,7.098814845E-2
1.645051250E0,-9.534329176E-2,-1.220028773E-1,7.941092551E-2
1.655113250E0,-8.527345955E-2,-1.300453842E-1,8.020383865E-2
1.665174250E0,-8.084622025E-2,-1.382734925E-1,8.335702121E-2
1.675236250E0,-8.106984198E-2,-1.543464959E-1,8.169171214E-2
1.685297250E0,-8.856451511E-2,-1.587588191E-1,8.082405478E-2
1.695358250E0,-9.210001677E-2,-1.596032828E-1,6.977718323E-2
1.705420250E0,-1.071063951E-1,-1.558245271E-1,6.737314910E-2
1.715481250E0,-1.185462102E-1,-1.464246809E-1,6.463162601E-2
1.725543250E0,-1.251990497E-1,-1.351091713E-1,5.461042002E-2
1.735604250E0,-1.386861801E-1,-1.406095177E-1,4.599251971E-2
1.745666250E0,-1.568207145E-1,-1.748319268E-1,3.079519235E-2
1.755727250E0,-1.727007926E-1,-2.190935463E-1,1.434635371E-2
1.765789250E0,-1.818809658E-1,-2.613342106E-1,-3.122119000E-3
1.775850250E0,-1.823632121E-1,-2.799683809E-1,-8.387206122E-3
1.785912250E0,-1.773301065E-1,-2.972972989E-1,-1.300086640E-2
1.795973250E0,-1.711280495E-1,-3.139505684E-1,-1.259838603E-2
1.806035250E0,-1.722082347E-1,-3.242032230E-1,-1.671270281E-2
1.816096250E0,-1.785793751E-1,-3.205654621E-1,-2.245945111E-2
1.826157250E0,-1.703696549E-1,-3.130960763E-1,-1.894114912E-2
1.836219250E0,-1.498064250E-1,-2.858919203E-1,-1.038585883E-2
1.846280250E0,-1.266017556E-1,-2.599588335E-1,-1.434442122E-3
1.856342250E0,-1.025522947E-1,-2.593913674E-1,1.441713236E-2
1.866403250E0,-8.072263002E-2,-2.709686756E-1,1.767124794E-2
1.876465250E0,-6.351704895E-2,-2.793869972E-1,2.396995202E-2
1.886526250E0,-5.569454283E-2,-2.791811228E-1,3.240285441E-2
1.896588250E0,-4.802615941E-2,-2.514128685E-1,3.658706322E-2
1.906649250E0,-4.654677212E-2,-2.447584122E-1,4.988768697E-2
1.916711250E0,-4.650345445E-2,-2.377279550E-1,5.953137577E-2
1.926772250E0,-4.884703457E-2,-2.337798178E-1,6.571549922E-2
1.936833250E0,-4.281883687E-2,-2.240151465E-1,7.295335829E-2
1.946895250E0,-3.855964169E-2,-1.827601194E-1,5.972623453E-2
1.956956250E0,-1.221857779E-2,-1.544540226E-1,7.457782328E-2
1.967018250E0,1.357866544E-2,-1.077823937E-1,8.526349068E-2
1.977079250E0,2.422817610E-2,-6.478356570E-2,9.380019456E-2
1.987141250E0,2.929563820E-2,-4.578244686E-2,9.494269639E-2
1.997202250E0,2.293234505E-2,-3.519588709E-2,9.350745380E-2
2.007264250E0,-3.800198901E-3,-6.190047041E-2,8.028086275E-2
2.017325250E0,-4.070312157E-2,-1.212972775E-1,7.145706564E-2
2.027387250E0,-5.314887315E-2,-1.550073028E-1,6.432245672E-2
