"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.932490000E-1,-1.330581158E-1,-1.181494713E0,-4.087757170E-1
9.033200000E-1,-3.796266019E-1,-7.736365795E-1,-3.246515691E-1
9.133910000E-1,-7.147521377E-1,-2.324697226E-1,1.805090532E-2
9.234310000E-1,-1.090106249E0,2.972292341E-2,2.542687953E-1
9.335019999E-1,-1.393036366E0,4.228531569E-2,2.812231779E-1
9.435730000E-1,-1.420537114E0,1.229956746E-1,2.281700522E-1
9.536130000E-1,-1.300265193E0,1.623521298E-1,1.835844815E-1
9.636840000E-1,-1.187034249E0,1.319661736E-1,2.038555741E-1
9.737240000E-1,-1.118444443E0,1.271240115E-1,2.837906480E-1
9.837950000E-1,-1.168177962E0,4.016727209E-2,3.989078999E-1
9.938660000E-1,-1.259230375E0,-6.332582980E-2,4.999612868E-1
1.003920708E0,-1.281201005E0,-1.200778857E-1,4.868903160E-1
1.013991708E0,-1.229212165E0,-1.447416842E-1,3.424734771E-1
1.024062708E0,-1.177939773E0,-3.072940111E-1,1.524632275E-1
1.034102708E0,-1.128823400E0,-5.488994718E-1,1.853285730E-2
1.044173708E0,-1.046034336E0,-7.822480798E-1,-3.051414713E-2
1.054244708E0,-9.589649439E-1,-1.002018213E0,4.006841034E-2
1.064284708E0,-9.037961364E-1,-1.275484681E0,2.389250547E-1
1.074355708E0,-8.491278291E-1,-1.551206231E0,5.303002000E-1
1.084395708E0,-7.774392962E-1,-1.803467751E0,8.172678947E-1
1.094466708E0,-6.777552962E-1,-2.133093119E0,1.096506596E0
1.104537708E0,-5.931673050E-1,-2.569769621E0,1.407437325E0
1.114577708E0,-5.478677750E-1,-3.138909578E0,1.723019838E0
1.124648708E0,-4.730274975E-1,-3.796499252E0,2.093394041E0
1.134718708E0,-3.390989900E-1,-4.549121857E0,2.531166315E0
1.144759708E0,-1.729972064E-1,-5.246369362E0,3.027679682E0
1.154830708E0,6.314076483E-2,-5.883238792E0,3.602797031E0
1.164900708E0,2.812839448E-1,-6.180887222E0,4.159323215E0
1.174941708E0,2.231612504E-1,-6.103543758E0,4.702139854E0
1.185011708E0,7.675749063E-2,-5.878365993E0,5.109853745E0
1.195052708E0,2.928371727E-2,-5.795593739E0,5.475327969E0
1.205123708E0,-2.092906833E-2,-6.051461697E0,5.956797600E0
1.215193708E0,-1.756624579E-1,-6.454568863E0,6.531677246E0
1.225234708E0,-3.219038546E-1,-6.750959396E0,7.134707928E0
1.235304708E0,-3.327676654E-1,-6.737612247E0,7.725070477E0
1.245375708E0,-2.204951197E-1,-6.327483654E0,8.228895187E0
1.255415708E0,2.606970668E-1,-5.842812061E0,8.600376129E0
1.265486708E0,6.283015013E-1,-5.190775394E0,8.612488747E0
1.275557708E0,9.912783504E-1,-4.715584755E0,8.530342102E0
1.285597708E0,1.230373740E0,-4.082864761E0,8.284370422E0
1.295668708E0,1.282851577E0,-3.467537403E0,7.994002342E0
1.305708708E0,1.354993224E0,-2.930540085E0,7.654774189E0
1.315779708E0,1.488245249E0,-2.542182446E0,7.160120487E0
1.325850708E0,1.746040463E0,-2.268877506E0,6.463535786E0
1.335890708E0,2.098440886E0,-2.083966255E0,5.672474861E0
1.345961708E0,2.362879038E0,-1.714938164E0,4.748653889E0
1.356032708E0,2.466315269E0,-1.241522431E0,3.725173473E0
1.366072708E0,2.257681608E0,-9.157551527E-1,2.644645214E0
1.376143708E0,1.681698203E0,-6.243171692E-1,1.668028593E0
1.386214708E0,7.365826368E-1,-4.755329490E-1,9.226956964E-1
1.396254708E0,-4.509507120E-1,-6.704821587E-1,4.317432940E-1
1.406325708E0,-1.055450320E0,-1.229077935E0,3.466900587E-1
1.416365708E0,-1.001804590E0,-2.250922680E0,3.466887176E-1
1.426436708E0,-7.292376161E-1,-3.780714512E0,2.414086759E-1
1.436507708E0,-2.295859903E-1,-4.915207386E0,9.412840754E-2
1.446547708E0,1.461918652E-2,-5.596141815E0,-8.354078233E-2
1.456618708E0,-1.957385838E-1,-5.731682301E0,-2.354546785E-1
1.466689708E0,-5.476604104E-1,-5.366942406E0,-3.792790174E-1
1.476729708E0,-6.489561796E-1,-4.597997665E0,-8.231294155E-1
1.486800708E0,-7.511196733E-1,-4.273602009E0,-1.199197412E0
1.496871708E0,-6.370338202E-1,-3.723404169E0,-1.801927686E0
1.506911708E0,-5.103213191E-1,-3.188979626E0,-2.123037577E0
1.516982708E0,-7.034201622E-1,-2.738393307E0,-2.103269815E0
1.527022708E0,-7.607669234E-1,-2.556334257E0,-2.060822010E0
1.537093708E0,-5.504658818E-1,-2.680065155E0,-2.782609701E0
1.547164708E0,2.264880762E-2,-2.443875790E0,-3.116271019E0
1.557204708E0,4.178589880E-1,-2.016228914E0,-3.185277462E0
1.567275708E0,-1.995097846E-4,-1.653128147E0,-2.787373304E0
1.577345708E0,-4.178284407E-1,-1.094094157E0,-2.486215830E0
1.587386708E0,-6.191395968E-2,-8.065941334E-1,-2.537455559E0
1.597457708E0,-7.243584096E-2,-1.113283038E0,-2.351415873E0
1.607527708E0,1.216931343E-1,-3.084512651E-1,-2.016910076E0
1.617568708E0,1.742929667E-1,8.649627566E-1,-1.500145316E0
1.627638708E0,-3.572571576E-1,1.754138112E0,-1.187510014E0
1.637679708E0,-9.767505527E-1,2.019057274E0,-1.309002161E0
1.647749708E0,-1.215667248E0,1.351097941E0,-1.076685667E0
1.657820708E0,-1.069025159E0,5.042781830E-1,-5.904937387E-1
1.667861708E0,-1.010819912E0,-2.897425592E-1,-9.853575379E-2
1.677931708E0,-1.041419387E0,-4.563629627E-1,1.879529953E-1
1.688002708E0,-1.104188323E0,3.510845900E-1,4.890706539E-1
1.698042708E0,-9.605991244E-1,1.394176841E0,1.202390909E0
1.708113708E0,-8.696836233E-1,1.911509037E0,1.884422421E0
1.718184708E0,-8.973767757E-1,1.640065551E0,2.372253895E0
1.728224708E0,-8.223081827E-1,7.062306404E-1,2.731428146E0
1.738295708E0,-5.647310019E-1,-3.085589111E-1,2.916790485E0
1.748335708E0,-2.666338086E-1,-1.149091125E0,2.886278868E0
1.758406708E0,-1.148887426E-1,-1.559051037E0,2.616627693E0
1.768477708E0,3.594380245E-2,-1.625140667E0,2.174646139E0
