"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.047480000E-1,-3.026705933E-1,4.522245941E0,7.660769348E0
8.147890000E-1,-7.843688965E-2,4.379592590E0,7.642806702E0
8.248590000E-1,2.165995789E-1,4.073628845E0,7.324119415E0
8.349000000E-1,6.685098267E-1,3.891457672E0,6.824608154E0
8.449710000E-1,8.777746582E-1,3.727249146E0,6.450536041E0
8.550409999E-1,8.583151245E-1,3.541934509E0,6.287974091E0
8.650820000E-1,1.189875641E0,3.290906525E0,6.244863739E0
8.751520000E-1,1.438658295E0,3.041225739E0,6.080954590E0
8.852230000E-1,1.041234741E0,2.980152740E0,6.272556152E0
8.952640000E-1,1.366358643E0,3.217559052E0,6.292015686E0
9.053340000E-1,1.249900818E0,3.594774628E0,6.102809143E0
9.154050000E-1,1.083446960E0,3.860621796E0,5.961203613E0
9.254449999E-1,1.536255341E0,3.867208099E0,6.400090942E0
9.355160000E-1,1.556613007E0,3.604504395E0,6.980883179E0
9.455570000E-1,1.548380127E0,3.311862946E0,7.360493774E0
9.556270000E-1,1.617686005E0,3.476071472E0,7.648345184E0
9.656980000E-1,1.383273468E0,3.470532990E0,7.928562469E0
9.757380000E-1,1.261875916E0,3.086132355E0,7.968379669E0
9.858090000E-1,1.225651245E0,2.707120514E0,8.337212677E0
9.958799999E-1,1.226250000E0,2.909948730E0,8.534951477E0
1.005934708E0,1.224902802E0,3.387156372E0,8.401578827E0
1.016005708E0,1.001866608E0,3.768413544E0,8.226592712E0
1.026076708E0,9.554631042E-1,3.607348480E0,8.221054230E0
1.036116708E0,1.150507507E0,3.044369202E0,8.283474426E0
1.046187708E0,1.170416107E0,2.572550354E0,8.084687805E0
1.056227708E0,1.176403656E0,2.161804504E0,7.848479004E0
1.066298708E0,1.457818451E0,1.612596588E0,7.758216705E0
1.076369708E0,1.682650909E0,1.211730194E0,7.693401489E0
1.086409708E0,1.683249664E0,1.210532684E0,7.686066742E0
1.096480708E0,1.862576752E0,1.267564087E0,7.329807587E0
1.106551708E0,2.199076996E0,9.557624817E-1,6.901697845E0
1.116591708E0,2.437082062E0,6.827302551E-1,6.512207794E0
1.126662708E0,2.900668030E0,4.349954224E-1,5.914351044E0
1.136733708E0,3.544030151E0,-1.951940918E-1,5.491330719E0
1.146773708E0,3.982019348E0,-8.409512329E-1,5.392087097E0
1.156844708E0,4.537663879E0,-1.109193420E0,5.495671692E0
1.166884708E0,5.291496277E0,-1.400038605E0,5.778134308E0
1.176955708E0,6.018384705E0,-1.610351257E0,6.399791565E0
1.187026708E0,6.087391205E0,-2.220183105E0,6.345304871E0
1.197066708E0,6.186934204E0,-3.251239014E0,5.650449829E0
1.207137708E0,6.511758728E0,-3.909869385E0,5.345533905E0
1.217207708E0,6.287225647E0,-4.464615784E0,5.396128693E0
1.227248708E0,6.468498688E0,-4.826413422E0,5.885910187E0
1.237319708E0,7.268435211E0,-5.279820557E0,6.783294067E0
1.247389708E0,8.221802673E0,-5.927224274E0,7.842790833E0
1.257430708E0,9.144783325E0,-6.138734436E0,8.903335419E0
1.267500708E0,1.081530945E1,-5.994135132E0,8.637188873E0
1.277541708E0,1.221250397E1,-5.107678528E0,8.997040558E0
1.287612708E0,1.266022293E1,-4.598138123E0,8.495882721E0
1.297682708E0,1.376986542E1,-4.436923370E0,8.278235321E0
1.307723708E0,1.487636444E1,-4.253854065E0,8.494385834E0
1.317793708E0,1.600801117E1,-4.138144684E0,8.580606537E0
1.327864708E0,1.727632370E1,-3.814966736E0,7.890990601E0
1.337905708E0,1.823014023E1,-3.272494812E0,7.231911163E0
1.347975708E0,1.882994293E1,-2.685116272E0,6.557114410E0
1.358046708E0,1.876872025E1,-1.959874420E0,5.639073486E0
1.368086708E0,1.851245316E1,-1.761237488E0,4.836592255E0
1.378157708E0,1.818553299E1,-1.443598022E0,2.804567871E0
1.388197708E0,1.755848694E1,-1.353635101E0,6.279441833E-1
1.398268708E0,1.596804428E1,-2.080673218E0,-1.857936401E0
1.408339708E0,1.349818039E1,-4.573738861E0,-4.285737762E0
1.418379708E0,1.043405228E1,-6.523434448E0,-4.807103577E0
1.428450708E0,8.787176971E0,-6.711144104E0,-4.325704651E0
1.438521708E0,8.629255371E0,-6.629414062E0,-4.911586304E0
1.448561708E0,8.749605103E0,-5.941893768E0,-4.093537445E0
1.458632708E0,8.153394928E0,-6.297254791E0,-2.126927032E0
1.468703708E0,7.518565063E0,-5.626499634E0,-3.915856934E-1
1.478743708E0,8.230334930E0,-3.285218353E0,3.911366272E-1
1.488814708E0,7.317682800E0,-3.309617615E0,1.669328613E0
1.498854708E0,5.841153259E0,-2.795287170E0,1.007854156E0
1.508925708E0,6.434968414E0,-3.045866089E0,9.972262573E-1
1.518996708E0,7.001540222E0,-4.862338715E0,8.924441528E-1
1.529036708E0,6.458918610E0,-2.503094788E0,-6.584806824E-1
1.539107708E0,5.183570709E0,-2.532284088E0,-1.786684570E0
1.549178708E0,6.749015350E0,-2.765199738E0,-1.700613556E0
1.559218708E0,7.803422699E0,-4.148473206E0,-4.195774841E-1
1.569289708E0,6.242319031E0,-8.185727692E0,1.003662872E0
1.579360708E0,5.269641724E0,-4.547393646E0,-7.453001404E-1
1.589400708E0,4.061653748E0,-6.787635040E0,-4.519701233E0
1.599471708E0,5.332660675E0,-6.386918335E0,-5.867498474E0
1.609511708E0,7.202422485E0,-4.083358612E0,-9.286987610E0
1.619582708E0,8.819210358E0,-3.741319885E0,-7.637567596E0
1.629653708E0,9.203910370E0,-2.303260345E0,-4.922663269E0
1.639693708E0,8.042176208E0,-1.151255951E0,-3.532803497E0
1.649764708E0,6.998247070E0,-1.799707489E0,-2.358046417E0
1.659834708E0,4.997357941E0,-2.644101562E0,-2.719993744E0
1.669875708E0,4.976551208E0,-3.761677551E0,-2.014061737E0
1.679946708E0,6.962770844E0,-4.212839355E0,-1.460662537E0
1.690016708E0,1.024275009E1,-4.440216522E0,-1.702260132E0
1.700057708E0,1.267354523E1,-6.411018219E0,-2.443518677E0
1.710127708E0,1.025756927E1,-6.509962463E0,-3.159629517E0
1.720168708E0,7.499853973E0,-6.161038055E0,-3.349434814E0
1.730238708E0,6.539451141E0,-6.602619781E0,-3.514691162E0
1.740309708E0,6.440357208E0,-6.794820099E0,-3.059188385E0
1.750350708E0,7.296576691E0,-6.891519012E0,-2.507435760E0
1.760420708E0,8.647367706E0,-6.692133636E0,-2.083816681E0
1.770491708E0,1.001761826E1,-7.300169220E0,-1.051862640E0
1.780531708E0,1.101200043E1,-8.034392395E0,-4.569996643E-1
1.790602708E0,1.157677597E1,-8.797505493E0,-5.628295898E-1
1.800673708E0,1.133203491E1,-9.656718750E0,-1.024768982E0
1.810713708E0,9.765542450E0,-9.554181976E0,-2.169139252E0
1.820784708E0,7.549400940E0,-8.659342804E0,-3.865411835E0
1.830824708E0,6.078709259E0,-8.848249969E0,-4.677173767E0
1.840895708E0,4.910987549E0,-7.771688690E0,-3.932322693E0
1.850966708E0,4.426295471E0,-7.553891602E0,-2.101479950E0
1.861006708E0,5.295088806E0,-1.028855484E1,-8.652008057E-2
1.871077708E0,4.783003693E0,-9.022637329E0,-7.041357422E-1
1.881148708E0,5.342240753E0,-9.383387146E0,6.336323547E-1
1.891188708E0,5.879473572E0,-9.366921387E0,-3.863465881E-1
1.901259708E0,5.693410492E0,-9.573641510E0,-4.164489899E0
1.911330708E0,5.326224060E0,-9.082961884E0,-7.901917877E0
1.921370708E0,5.021457825E0,-8.078400879E0,-1.007509872E1
1.931441708E0,4.924758911E0,-7.009174347E0,-9.530830536E0
1.941481708E0,5.069507904E0,-5.708828430E0,-7.136858826E0
1.951552708E0,5.190306702E0,-4.977748718E0,-4.359534302E0
1.961623708E0,5.660029907E0,-5.186564484E0,-2.393223267E0
1.971663708E0,5.752387848E0,-5.725593567E0,-1.666933594E0
1.981734708E0,5.828579407E0,-6.016139374E0,-2.008672943E0
1.991805708E0,5.958359528E0,-6.357579346E0,-2.888094177E0
2.001828833E0,5.378914490E0,-6.433022461E0,-3.565735016E0
2.011899833E0,4.602778473E0,-4.897964630E0,-4.273163910E0
2.021970833E0,4.531676331E0,-4.300257568E0,-3.730841675E0
2.032010833E0,4.082909546E0,-4.165238342E0,-3.221450958E0
2.042081833E0,3.814817047E0,-7.792345734E0,-2.966381378E0
2.052121833E0,2.379451904E0,-1.071726334E1,-3.422333221E0
2.062192833E0,-1.007105713E0,-1.407508072E1,-3.862567749E0
2.072263833E0,-2.301613770E0,-1.319401291E1,-3.624113617E0
2.082303833E0,-2.464624786E0,-1.021266266E1,-3.311713257E0
2.092374833E0,-2.559826813E0,-8.931476898E0,-2.599793701E0
2.102444833E0,-1.037642212E0,-8.038134613E0,-2.430795135E0
2.112485833E0,-1.161584473E-1,-7.546856232E0,-3.030897217E0
2.122555833E0,-1.321751404E-1,-7.510032806E0,-3.420986023E0
2.132626833E0,1.805245972E-1,-7.433691559E0,-3.727698212E0
2.142667833E0,8.140072632E-1,-7.543263702E0,-4.338428192E0
2.152737833E0,1.351240082E0,-8.022117920E0,-5.094056854E0
2.162778833E0,1.300345917E0,-8.558302917E0,-5.377567291E0
2.172848833E0,1.174607391E0,-7.626340942E0,-5.674849091E0
2.182919833E0,4.259691925E0,-3.525618439E0,-5.655389557E0
2.192960833E0,7.838749237E0,-3.509751434E0,-5.546865234E0
2.203030833E0,5.798042908E0,-8.776698761E0,-6.606212311E0
2.213101833E0,2.485281830E0,-1.066187851E1,-6.059549103E0
2.223141833E0,1.095721436E-1,-9.221274261E0,-5.212909698E0
2.233212833E0,-1.080303497E0,-7.913144531E0,-4.189487915E0
2.243283833E0,-3.287164307E-1,-7.800428925E0,-4.235442352E0
2.253323833E0,7.014413452E-1,-8.356073456E0,-5.175487518E0
2.263394833E0,5.849835205E-1,-8.897647247E0,-6.325695648E0
2.273465833E0,1.092727661E-1,-8.951684875E0,-7.026837616E0
2.283505833E0,-6.544390869E-1,-8.541687469E0,-6.987469482E0
2.293576833E0,-1.073567505E0,-7.792196045E0,-6.769522705E0
2.303616833E0,-1.186582489E0,-7.443571014E0,-6.665039978E0
2.313687833E0,-1.043779449E0,-7.936046906E0,-6.781797180E0
2.323758833E0,-6.363267517E-1,-9.589957581E0,-7.004833374E0
2.333798833E0,-5.533992004E-1,-1.211730194E1,-6.784641266E0
2.343869833E0,1.032103729E0,-1.445783478E1,-5.322631531E0
2.353940833E0,1.727258148E0,-1.646770523E1,-2.768792267E0
2.363980833E0,2.604883118E0,-1.791579391E1,1.983375549E0
2.374051833E0,3.409010925E0,-1.805710007E1,5.252577209E0
2.384122833E0,3.059936829E0,-1.631232834E1,4.142934723E0
2.394162833E0,2.758763123E0,-1.339684113E1,6.316864014E-2
2.404233833E0,1.647773438E0,-1.455019272E1,-2.696492615E0
2.414273833E0,5.351371765E-1,-1.639735153E1,-3.418141937E0
2.424344833E0,2.986289978E-1,-1.732572098E1,-5.789061584E0
2.434415833E0,1.674567719E0,-1.719324646E1,-8.688083038E0
2.444455833E0,3.382665710E0,-1.654494461E1,-1.005608826E1
2.454526833E0,3.918102264E0,-1.596160767E1,-1.009755203E1
2.464596833E0,3.697610779E0,-1.523606644E1,-1.048599426E1
2.474637833E0,2.364183655E0,-1.484028946E1,-1.057026901E1
2.484708833E0,3.457809448E-1,-1.501901779E1,-1.114971405E1
2.494778833E0,-6.155200195E-1,-1.434661606E1,-1.298280212E1
2.504819833E0,5.882766724E-2,-1.433898193E1,-1.353156097E1
2.514889833E0,1.066831512E0,-1.428224991E1,-1.170461014E1
2.524930833E0,1.148561554E0,-1.332648743E1,-9.736053772E0
2.535001833E0,-1.119072876E0,-1.183693497E1,-6.448739777E0
2.545071833E0,-9.834548950E-2,-1.052386551E1,-5.750441895E0
2.555112833E0,2.108215942E0,-9.194479980E0,-6.178551636E0
2.565182833E0,1.557660828E0,-6.642586670E0,-3.354823608E0
2.575253833E0,1.338516541E0,-3.601211243E0,-8.707392883E-1
2.585294833E0,1.134341125E0,-1.973795471E0,1.588646393E0
2.595364833E0,6.899153137E-1,-7.768844604E-1,3.972888336E0
2.605435833E0,1.532812500E-1,3.225791931E-1,4.877157898E0
2.615475833E0,3.405418396E-1,5.572911072E-1,4.353995819E0
2.625546833E0,7.185058594E-1,2.998265076E-1,3.602109375E0
2.635586833E0,7.658074951E-1,-2.562670898E-1,3.245999908E0
2.645657833E0,6.607260132E-1,-8.999285889E-1,2.799628143E0
2.655728833E0,9.023236084E-1,-9.312135315E-1,-3.131488037E-1
2.665768833E0,4.415817261E-2,-2.093995514E0,-2.545157318E0
2.675839833E0,-8.033793640E-1,-4.114942932E0,-3.335214386E0
2.685910833E0,-1.194515991E0,-4.380341034E0,-3.553310852E0
2.695950833E0,-1.050665131E0,-3.799399109E0,-4.300706635E0
2.706021833E0,-2.378254395E0,-3.534899139E0,-4.040397949E0
2.716092833E0,-3.213068390E0,-6.264772339E0,-2.320923615E0
2.726132833E0,-4.711302795E0,-1.153336624E1,-1.274749146E0
2.736203833E0,-5.553451538E0,-1.587119568E1,-1.831740875E0
2.746243833E0,-4.544848938E0,-1.925460983E1,-2.423759766E0
2.756314833E0,-1.638343048E0,-2.122002274E1,-1.829345856E0
2.766385833E0,1.939516754E0,-2.163106796E1,-2.010319519E-1
2.776425833E0,4.897365875E0,-2.146775757E1,6.385720825E-1
2.786496833E0,6.923851776E0,-2.185140976E1,-9.873468018E-1
2.796567833E0,8.805888062E0,-2.201606735E1,-3.658242645E0
2.806607833E0,1.064376617E1,-2.168779999E1,-5.150938568E0
2.816678833E0,1.353126160E1,-2.139141632E1,-6.707401886E0
