"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.335019999E-1,2.324165018E0,-2.666205207E0,-5.863932842E-1
9.435730000E-1,2.264796776E0,-2.932403208E0,-1.973914754E-1
9.536130000E-1,2.373808464E0,-2.725305939E0,-2.428114772E-2
9.636840000E-1,2.172210209E0,-2.568877133E0,2.361000431E-1
9.737240000E-1,2.001820006E0,-2.799772570E0,2.061178601E-1
9.837950000E-1,1.943657168E0,-3.158985738E0,4.519634575E-1
9.938660000E-1,1.893169238E0,-2.973320854E0,6.460302061E-1
1.003920708E0,1.886544489E0,-2.421308613E0,4.958544123E-1
1.013991708E0,1.655952815E0,-1.890913528E0,2.248377210E-1
1.024062708E0,1.509305524E0,-1.825443424E0,1.196749628E-1
1.034102708E0,1.642143300E0,-2.269517818E0,1.301829940E-1
1.044173708E0,1.649061871E0,-2.685850682E0,-7.174650550E-2
1.054244708E0,1.526937949E0,-3.008680136E0,-3.902671462E-1
1.064284708E0,1.655853851E0,-3.461967988E0,-5.447675407E-1
1.074355708E0,1.758083061E0,-3.858261859E0,-6.754890633E-1
1.084395708E0,1.597176019E0,-3.865413589E0,-7.050215954E-1
1.094466708E0,1.466129683E0,-3.709870636E0,-1.010931546E0
1.104537708E0,1.532269878E0,-3.901101485E0,-1.482807112E0
1.114577708E0,1.404970000E0,-4.155493373E0,-1.852948726E0
1.124648708E0,1.388621039E0,-4.300593783E0,-2.397625051E0
1.134718708E0,1.518716763E0,-4.782143275E0,-2.830553482E0
1.144759708E0,1.419119531E0,-5.399018971E0,-2.870926752E0
1.154830708E0,1.269222942E0,-5.635145327E0,-2.647287126E0
1.164900708E0,1.310977032E0,-5.746834162E0,-2.157712623E0
1.174941708E0,1.407368967E0,-5.861306273E0,-1.350292833E0
1.185011708E0,9.709623188E-1,-6.010177553E0,-8.555482221E-1
1.195052708E0,3.254595315E-1,-6.810180734E0,-1.232166798E0
1.205123708E0,8.389292657E-2,-7.118941203E0,-1.256619853E0
1.215193708E0,-6.932844794E-1,-7.268645711E0,-8.227967978E-1
1.225234708E0,-1.259397866E0,-7.101034690E0,3.014999807E-2
1.235304708E0,-1.070918716E0,-6.883417110E0,1.396871168E0
1.245375708E0,-5.465795928E-1,-6.822187407E0,2.969097995E0
1.255415708E0,6.160334051E-2,-6.415155709E0,4.614882209E0
1.265486708E0,1.315735204E0,-5.573126249E0,5.064813759E0
1.275557708E0,2.891391422E0,-4.082933519E0,5.647011082E0
1.285597708E0,3.372006236E0,-2.669757391E0,5.793058741E0
1.295668708E0,4.438112694E0,-1.814222910E0,5.638788142E0
1.305708708E0,5.749549609E0,-9.662781143E-1,6.088184087E0
1.315779708E0,7.036637549E0,-2.430716783E-1,6.406296592E0
1.325850708E0,8.550228497E0,5.272323257E-1,5.991824312E0
1.335890708E0,9.778912693E0,1.504854038E0,5.326584833E0
1.345961708E0,1.070096364E1,2.390039458E0,4.755066866E0
1.356032708E0,1.092752804E1,3.388035793E0,3.785202069E0
1.366072708E0,1.078032556E1,3.856582539E0,2.985393600E0
1.376143708E0,1.060487517E1,4.207764557E0,1.173683531E0
1.386214708E0,1.009600603E1,4.469073701E0,-1.065097813E0
1.396254708E0,8.746308442E0,3.985389099E0,-3.356398264E0
1.406325708E0,6.432565793E0,1.909769629E0,-5.785201253E0
1.416365708E0,3.370163194E0,-4.250247502E-1,-6.523178340E0
1.426436708E0,1.249293292E0,-7.432951301E-1,-5.660777181E0
1.436507708E0,8.850930333E-1,-7.400557727E-1,-5.710521784E0
1.446547708E0,9.472343177E-1,-1.352367425E-1,-4.934317939E0
1.456618708E0,5.632038116E-1,-1.683389997E-1,-2.558412956E0
1.466689708E0,-3.386379862E-1,-1.721010983E-1,-2.138104570E-1
1.476729708E0,3.021174467E-1,2.249684063E0,1.054429568E0
1.486800708E0,-2.126234722E-1,2.508956621E0,2.678443429E0
1.496871708E0,-1.948760033E0,2.566643497E0,2.767971318E0
1.506911708E0,-1.714503032E0,2.719131280E0,2.717626791E0
1.516982708E0,-1.131540309E0,3.739352882E-1,3.113530068E0
1.527022708E0,-1.348834537E0,2.060274621E0,2.016107093E0
1.537093708E0,-2.912981681E0,2.476708642E0,8.928569663E-1
1.547164708E0,-1.980150225E0,1.706754302E0,9.556619096E-1
1.557204708E0,-4.192465317E-1,7.101814708E-1,2.152226765E0
1.567275708E0,-1.904877849E0,-3.609181875E0,3.866992922E0
1.577345708E0,-2.879663662E0,-1.558548143E0,3.254333360E0
1.587386708E0,-4.454103659E0,-2.351133839E0,-9.349744606E-1
1.597457708E0,-3.581304982E0,-3.619285571E0,-1.956323991E0
1.607527708E0,-1.807212975E0,-1.020071914E0,-5.531069566E0
1.617568708E0,-1.686296064E-1,-7.895711643E-1,-5.018158826E0
1.627638708E0,5.052193129E-1,3.721670902E-1,-2.156212227E0
1.637679708E0,-6.270910746E-1,1.580173485E0,-8.453144252E-1
1.647749708E0,-1.689483966E0,1.124637671E0,4.448725390E-1
1.657820708E0,-3.641628367E0,1.239396295E-1,2.327975357E-1
1.667861708E0,-4.278708240E0,-8.858289054E-1,7.155717266E-1
1.677931708E0,-2.436990260E0,-1.732994851E0,1.493728541E0
1.688002708E0,4.481118965E-1,-1.559771088E0,1.379870389E0
1.698042708E0,3.613592722E0,-3.461701063E0,6.358870411E-1
1.708113708E0,1.972711982E0,-3.787917809E0,-3.294859242E-1
1.718184708E0,-1.085279478E0,-3.167902157E0,-6.783939600E-1
1.728224708E0,-2.237490279E0,-3.275183069E0,-9.140332425E-1
1.738295708E0,-2.408954031E0,-3.318527894E0,-5.493856716E-1
1.748335708E0,-1.572283545E0,-3.184773129E0,1.568188155E-1
1.758406708E0,-1.846316814E-1,-2.764530816E0,6.828951466E-1
1.768477708E0,1.435704281E0,-3.026601852E0,1.749106854E0
1.778517708E0,2.530451571E0,-3.634851444E0,2.620973486E0
1.788588708E0,3.336420082E0,-4.317865289E0,2.679748528E0
1.798659708E0,3.265174098E0,-5.093063997E0,2.332836732E0
1.808699708E0,2.058164946E0,-5.476792787E0,1.373872315E0
1.818770708E0,-2.160148573E-1,-4.193915427E0,-3.422889876E-1
1.828841708E0,-1.745513155E0,-4.355114976E0,-1.492212943E0
1.838881708E0,-2.875029743E0,-3.230559751E0,-1.111993067E0
1.848952708E0,-3.563304913E0,-2.216685301E0,4.190488958E-1
1.858992708E0,-2.255402640E0,-5.221749519E0,3.200434896E0
1.869063708E0,-2.772740307E0,-3.679207837E0,2.494698186E0
1.879134708E0,-2.080626440E0,-3.869380340E0,3.999757462E0
1.889174708E0,-1.267863464E0,-3.718630350E0,3.940916930E0
1.899245708E0,-1.061929207E0,-3.856192530E0,7.436149728E-1
1.909316708E0,-1.243412163E0,-3.405921841E0,-2.945070616E0
1.919356708E0,-1.362207119E0,-2.344453980E0,-5.451801202E0
1.929427708E0,-1.428937883E0,-1.172726342E0,-5.455059271E0
1.939498708E0,-1.213021844E0,2.464899606E-1,-3.365346258E0
1.949538708E0,-1.004184444E0,1.295216154E0,-6.592700565E-1
1.959609708E0,-5.739088941E-1,1.447388772E0,1.384771525E0
1.969649708E0,-2.045320952E-1,9.951773930E-1,2.263303982E0
1.979720708E0,-1.519878459E-1,8.634115577E-1,1.976908529E0
1.989790708E0,2.284097850E-1,7.072417831E-1,1.065532261E0
1.999814833E0,-2.011442184E-4,6.336019492E-1,2.663734174E-1
2.009885833E0,-6.365378362E-1,2.248527483E0,-6.854632437E-1
2.019955833E0,-4.355520773E-1,3.482323900E0,-5.813255024E-1
2.029996833E0,-3.375670686E-1,3.812285787E0,-1.599564314E-1
2.040066833E0,-2.606203419E-1,1.653465702E0,-5.526554346E-2
2.050137833E0,-8.116502506E-1,-1.539441488E0,-3.456523061E-1
2.060178833E0,-3.819971368E0,-4.841314466E0,-9.295552611E-1
2.070248833E0,-5.595495942E0,-5.058021049E0,-6.674631751E-1
2.080289833E0,-5.637094789E0,-1.948762956E0,-3.235568476E-1
2.090359833E0,-5.917169402E0,-4.057172441E-1,3.921248066E-1
2.100430833E0,-4.636591459E0,4.839255077E-1,8.118531489E-1
2.110471833E0,-3.455437525E0,1.078962146E0,2.892851472E-1
2.120541833E0,-3.482597550E0,1.133441824E0,-1.536274052E-1
2.130612833E0,-3.345813049E0,1.158489541E0,-4.404719245E-1
2.140652833E0,-2.800774782E0,1.106889617E0,-9.654887402E-1
2.150723833E0,-2.295317780E0,6.426721501E-1,-1.762772967E0
2.160794833E0,-2.249645179E0,7.216750503E-2,-2.161302813E0
2.170834833E0,-2.613602486E0,3.724553579E-1,-2.376771541E0
2.180905833E0,-3.788636139E-1,4.206343684E0,-2.697056286E0
2.190945833E0,3.924851705E0,5.722657680E0,-2.185361767E0
2.201016833E0,2.933155160E0,7.673137379E-1,-3.397096639E0
2.211087833E0,-4.482808810E-1,-2.036111003E0,-3.117099209E0
2.221127833E0,-2.952343675E0,-9.417092836E-1,-2.375814936E0
2.231198833E0,-4.461983660E0,6.117035419E-1,-1.358560796E0
2.241269833E0,-4.051112095E0,9.381611931E-1,-1.178233835E0
2.251309833E0,-2.842367197E0,4.989265394E-1,-2.049148539E0
2.261380833E0,-2.745009302E0,-7.774457932E-2,-3.255180037E0
2.271451833E0,-3.132939316E0,-1.733945024E-1,-4.225737144E0
2.281491833E0,-3.780536868E0,2.181134230E-1,-4.440512391E0
2.291562833E0,-4.245563883E0,1.010539198E0,-4.402043560E0
2.301602833E0,-4.287118290E0,1.575197797E0,-4.429608504E0
2.311673833E0,-4.140856622E0,1.331062510E0,-4.632557173E0
2.321744833E0,-3.538137035E0,2.812744617E-2,-4.967387452E0
2.331784833E0,-3.609624217E0,-2.478379192E0,-4.983805264E0
2.341855833E0,-2.024275946E0,-4.741635811E0,-3.816060165E0
2.351926833E0,-1.062513636E0,-6.904447206E0,-1.455663167E0
2.361966833E0,-4.107297698E-1,-8.568600449E0,2.907550203E0
2.372037833E0,8.053989923E-1,-8.826339283E0,7.037016449E0
2.382107833E0,5.613189617E-1,-7.754059920E0,6.936109879E0
2.392148833E0,4.097529924E-1,-4.501245081E0,3.297511539E0
2.402219833E0,-5.572080767E-1,-4.952223868E0,1.208677948E-1
2.412259833E0,-1.766987055E0,-7.003607213E0,-5.867166352E-1
2.422330833E0,-2.342529661E0,-8.130089096E0,-2.417835367E0
2.432400833E0,-1.336484633E0,-8.290420334E0,-5.441801294E0
2.442441833E0,4.057189983E-1,-7.629522997E0,-7.176897050E0
2.452512833E0,1.148122428E0,-7.070539706E0,-7.447282827E0
2.462582833E0,1.002776434E0,-6.305705187E0,-7.865931773E0
2.472623833E0,-6.777741551E-2,-5.749723856E0,-8.289014078E0
2.482693833E0,-2.133915625E0,-5.865065448E0,-8.817380179E0
2.492764833E0,-3.407715475E0,-5.261141626E0,-1.085750296E1
